e_v,start_time,resource,track_id,event_name,finish_time,node1,node2
v,2011-10-0115:02:57.000000000+00:00,No_resource,173757,START,2011-10-0115:02:57.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0115:15:16.000000000+00:00,No_resource,173760,START,2011-10-0115:15:16.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0116:09:21.000000000+00:00,No_resource,173763,START,2011-10-0116:09:21.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0116:12:01.000000000+00:00,No_resource,173766,START,2011-10-0116:12:01.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0116:34:45.000000000+00:00,No_resource,173769,START,2011-10-0116:34:45.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0116:39:54.000000000+00:00,No_resource,173772,START,2011-10-0116:39:54.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0116:58:59.000000000+00:00,No_resource,173775,START,2011-10-0116:58:59.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0117:49:30.000000000+00:00,No_resource,173778,START,2011-10-0117:49:30.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0118:10:33.000000000+00:00,No_resource,173781,START,2011-10-0118:10:33.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0108:11:07.000000000+00:00,No_resource,173697,START,2011-10-0108:11:07.000000000+00:00,1,
v,2011-10-0108:11:07.000000000+00:00,112,173697,A_SUBMITTED,2011-10-0108:11:08.000000000+00:00,2,
e,,,173697,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0108:15:38.000000000+00:00,No_resource,173700,START,2011-10-0108:15:38.000000000+00:00,1,
v,2011-10-0108:15:38.000000000+00:00,112,173700,A_SUBMITTED,2011-10-0108:15:39.000000000+00:00,2,
e,,,173700,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0109:45:24.000000000+00:00,No_resource,173703,START,2011-10-0109:45:24.000000000+00:00,1,
v,2011-10-0109:45:24.000000000+00:00,112,173703,A_SUBMITTED,2011-10-0109:45:25.000000000+00:00,2,
e,,,173703,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0109:45:36.000000000+00:00,No_resource,173706,START,2011-10-0109:45:36.000000000+00:00,1,
v,2011-10-0109:45:36.000000000+00:00,112,173706,A_SUBMITTED,2011-10-0109:45:37.000000000+00:00,2,
e,,,173706,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0109:57:41.000000000+00:00,No_resource,173709,START,2011-10-0109:57:41.000000000+00:00,1,
v,2011-10-0109:57:41.000000000+00:00,112,173709,A_SUBMITTED,2011-10-0109:57:42.000000000+00:00,2,
e,,,173709,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0109:58:29.000000000+00:00,No_resource,173712,START,2011-10-0109:58:29.000000000+00:00,1,
v,2011-10-0109:58:29.000000000+00:00,112,173712,A_SUBMITTED,2011-10-0109:58:30.000000000+00:00,2,
e,,,173712,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0109:59:09.000000000+00:00,No_resource,173715,START,2011-10-0109:59:09.000000000+00:00,1,
v,2011-10-0109:59:09.000000000+00:00,112,173715,A_SUBMITTED,2011-10-0109:59:10.000000000+00:00,2,
e,,,173715,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0110:37:38.000000000+00:00,No_resource,173718,START,2011-10-0110:37:38.000000000+00:00,1,
v,2011-10-0110:37:38.000000000+00:00,112,173718,A_SUBMITTED,2011-10-0110:37:39.000000000+00:00,2,
e,,,173718,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0111:07:33.000000000+00:00,No_resource,173721,START,2011-10-0111:07:33.000000000+00:00,1,
v,2011-10-0111:07:33.000000000+00:00,112,173721,A_SUBMITTED,2011-10-0111:07:34.000000000+00:00,2,
e,,,173721,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0111:52:13.000000000+00:00,No_resource,173724,START,2011-10-0111:52:13.000000000+00:00,1,
v,2011-10-0111:52:13.000000000+00:00,112,173724,A_SUBMITTED,2011-10-0111:52:14.000000000+00:00,2,
e,,,173724,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0112:08:45.000000000+00:00,No_resource,173727,START,2011-10-0112:08:45.000000000+00:00,1,
v,2011-10-0112:08:45.000000000+00:00,112,173727,A_SUBMITTED,2011-10-0112:08:46.000000000+00:00,2,
e,,,173727,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0112:36:07.000000000+00:00,No_resource,173730,START,2011-10-0112:36:07.000000000+00:00,1,
v,2011-10-0112:36:07.000000000+00:00,112,173730,A_SUBMITTED,2011-10-0112:36:08.000000000+00:00,2,
e,,,173730,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0112:39:33.000000000+00:00,No_resource,173733,START,2011-10-0112:39:33.000000000+00:00,1,
v,2011-10-0112:39:33.000000000+00:00,112,173733,A_SUBMITTED,2011-10-0112:39:34.000000000+00:00,2,
e,,,173733,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0113:01:57.000000000+00:00,No_resource,173736,START,2011-10-0113:01:57.000000000+00:00,1,
v,2011-10-0113:01:57.000000000+00:00,112,173736,A_SUBMITTED,2011-10-0113:01:58.000000000+00:00,2,
e,,,173736,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0113:12:57.000000000+00:00,No_resource,173739,START,2011-10-0113:12:57.000000000+00:00,1,
v,2011-10-0113:12:57.000000000+00:00,112,173739,A_SUBMITTED,2011-10-0113:12:58.000000000+00:00,2,
e,,,173739,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0113:44:11.000000000+00:00,No_resource,173742,START,2011-10-0113:44:11.000000000+00:00,1,
v,2011-10-0113:44:11.000000000+00:00,112,173742,A_SUBMITTED,2011-10-0113:44:12.000000000+00:00,2,
e,,,173742,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0114:08:15.000000000+00:00,No_resource,173745,START,2011-10-0114:08:15.000000000+00:00,1,
v,2011-10-0114:08:15.000000000+00:00,112,173745,A_SUBMITTED,2011-10-0114:08:16.000000000+00:00,2,
e,,,173745,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0114:09:15.000000000+00:00,No_resource,173748,START,2011-10-0114:09:15.000000000+00:00,1,
v,2011-10-0114:09:15.000000000+00:00,112,173748,A_SUBMITTED,2011-10-0114:09:16.000000000+00:00,2,
e,,,173748,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0114:14:38.000000000+00:00,No_resource,173751,START,2011-10-0114:14:38.000000000+00:00,1,
v,2011-10-0114:14:38.000000000+00:00,112,173751,A_SUBMITTED,2011-10-0114:14:39.000000000+00:00,2,
e,,,173751,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0114:50:08.000000000+00:00,No_resource,173754,START,2011-10-0114:50:08.000000000+00:00,1,
v,2011-10-0114:50:08.000000000+00:00,112,173754,A_SUBMITTED,2011-10-0114:50:09.000000000+00:00,2,
e,,,173754,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0115:02:57.000000000+00:00,No_resource,173757,START,2011-10-0115:02:57.000000000+00:00,1,
v,2011-10-0115:02:57.000000000+00:00,112,173757,A_SUBMITTED,2011-10-0115:02:58.000000000+00:00,2,
e,,,173757,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0115:15:16.000000000+00:00,No_resource,173760,START,2011-10-0115:15:16.000000000+00:00,1,
v,2011-10-0115:15:16.000000000+00:00,112,173760,A_SUBMITTED,2011-10-0115:15:17.000000000+00:00,2,
e,,,173760,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0116:09:21.000000000+00:00,No_resource,173763,START,2011-10-0116:09:21.000000000+00:00,1,
v,2011-10-0116:09:21.000000000+00:00,112,173763,A_SUBMITTED,2011-10-0116:09:22.000000000+00:00,2,
e,,,173763,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0116:12:01.000000000+00:00,No_resource,173766,START,2011-10-0116:12:01.000000000+00:00,1,
v,2011-10-0116:12:01.000000000+00:00,112,173766,A_SUBMITTED,2011-10-0116:12:02.000000000+00:00,2,
e,,,173766,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0116:34:45.000000000+00:00,No_resource,173769,START,2011-10-0116:34:45.000000000+00:00,1,
v,2011-10-0116:34:45.000000000+00:00,112,173769,A_SUBMITTED,2011-10-0116:34:46.000000000+00:00,2,
e,,,173769,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0116:39:54.000000000+00:00,No_resource,173772,START,2011-10-0116:39:54.000000000+00:00,1,
v,2011-10-0116:39:54.000000000+00:00,112,173772,A_SUBMITTED,2011-10-0116:39:55.000000000+00:00,2,
e,,,173772,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0116:58:59.000000000+00:00,No_resource,173775,START,2011-10-0116:58:59.000000000+00:00,1,
v,2011-10-0116:58:59.000000000+00:00,112,173775,A_SUBMITTED,2011-10-0116:59:00.000000000+00:00,2,
e,,,173775,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0117:49:30.000000000+00:00,No_resource,173778,START,2011-10-0117:49:30.000000000+00:00,1,
v,2011-10-0117:49:30.000000000+00:00,112,173778,A_SUBMITTED,2011-10-0117:49:31.000000000+00:00,2,
e,,,173778,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0118:10:33.000000000+00:00,No_resource,173781,START,2011-10-0118:10:33.000000000+00:00,1,
v,2011-10-0118:10:33.000000000+00:00,112,173781,A_SUBMITTED,2011-10-0118:10:34.000000000+00:00,2,
e,,,173781,START__A_SUBMITTED,,1,2
,,,,,,,
XP,,,,,,,
v,2011-10-0108:11:07.000000000+00:00,No_resource,173697,START,2011-10-0108:11:07.000000000+00:00,1,
v,2011-10-0108:11:07.000000000+00:00,112,173697,A_SUBMITTED,2011-10-0108:11:08.000000000+00:00,2,
v,2011-10-0108:11:08.000000000+00:00,112,173697,A_PARTLYSUBMITTED,2011-10-0108:11:09.000000000+00:00,3,
e,,,173697,START__A_SUBMITTED,,1,2
e,,,173697,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0108:15:38.000000000+00:00,No_resource,173700,START,2011-10-0108:15:38.000000000+00:00,1,
v,2011-10-0108:15:38.000000000+00:00,112,173700,A_SUBMITTED,2011-10-0108:15:39.000000000+00:00,2,
v,2011-10-0108:15:39.000000000+00:00,112,173700,A_PARTLYSUBMITTED,2011-10-0108:15:40.000000000+00:00,3,
e,,,173700,START__A_SUBMITTED,,1,2
e,,,173700,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0109:45:24.000000000+00:00,No_resource,173703,START,2011-10-0109:45:24.000000000+00:00,1,
v,2011-10-0109:45:24.000000000+00:00,112,173703,A_SUBMITTED,2011-10-0109:45:25.000000000+00:00,2,
v,2011-10-0109:45:25.000000000+00:00,112,173703,A_PARTLYSUBMITTED,2011-10-0109:45:25.000000000+00:00,3,
e,,,173703,START__A_SUBMITTED,,1,2
e,,,173703,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0109:45:36.000000000+00:00,No_resource,173706,START,2011-10-0109:45:36.000000000+00:00,1,
v,2011-10-0109:45:36.000000000+00:00,112,173706,A_SUBMITTED,2011-10-0109:45:37.000000000+00:00,2,
v,2011-10-0109:45:37.000000000+00:00,112,173706,A_PARTLYSUBMITTED,2011-10-0109:45:37.000000000+00:00,3,
e,,,173706,START__A_SUBMITTED,,1,2
e,,,173706,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0109:57:41.000000000+00:00,No_resource,173709,START,2011-10-0109:57:41.000000000+00:00,1,
v,2011-10-0109:57:41.000000000+00:00,112,173709,A_SUBMITTED,2011-10-0109:57:42.000000000+00:00,2,
v,2011-10-0109:57:42.000000000+00:00,112,173709,A_PARTLYSUBMITTED,2011-10-0109:57:43.000000000+00:00,3,
e,,,173709,START__A_SUBMITTED,,1,2
e,,,173709,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0109:58:29.000000000+00:00,No_resource,173712,START,2011-10-0109:58:29.000000000+00:00,1,
v,2011-10-0109:58:29.000000000+00:00,112,173712,A_SUBMITTED,2011-10-0109:58:30.000000000+00:00,2,
v,2011-10-0109:58:30.000000000+00:00,112,173712,A_PARTLYSUBMITTED,2011-10-0109:58:30.000000000+00:00,3,
e,,,173712,START__A_SUBMITTED,,1,2
e,,,173712,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0109:59:09.000000000+00:00,No_resource,173715,START,2011-10-0109:59:09.000000000+00:00,1,
v,2011-10-0109:59:09.000000000+00:00,112,173715,A_SUBMITTED,2011-10-0109:59:10.000000000+00:00,2,
v,2011-10-0109:59:10.000000000+00:00,112,173715,A_PARTLYSUBMITTED,2011-10-0109:59:10.000000000+00:00,3,
e,,,173715,START__A_SUBMITTED,,1,2
e,,,173715,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0110:37:38.000000000+00:00,No_resource,173718,START,2011-10-0110:37:38.000000000+00:00,1,
v,2011-10-0110:37:38.000000000+00:00,112,173718,A_SUBMITTED,2011-10-0110:37:39.000000000+00:00,2,
v,2011-10-0110:37:39.000000000+00:00,112,173718,A_PARTLYSUBMITTED,2011-10-0110:37:39.000000000+00:00,3,
e,,,173718,START__A_SUBMITTED,,1,2
e,,,173718,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0111:07:33.000000000+00:00,No_resource,173721,START,2011-10-0111:07:33.000000000+00:00,1,
v,2011-10-0111:07:33.000000000+00:00,112,173721,A_SUBMITTED,2011-10-0111:07:34.000000000+00:00,2,
v,2011-10-0111:07:34.000000000+00:00,112,173721,A_PARTLYSUBMITTED,2011-10-0111:07:34.000000000+00:00,3,
e,,,173721,START__A_SUBMITTED,,1,2
e,,,173721,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0111:52:13.000000000+00:00,No_resource,173724,START,2011-10-0111:52:13.000000000+00:00,1,
v,2011-10-0111:52:13.000000000+00:00,112,173724,A_SUBMITTED,2011-10-0111:52:14.000000000+00:00,2,
v,2011-10-0111:52:14.000000000+00:00,112,173724,A_PARTLYSUBMITTED,2011-10-0111:52:14.000000000+00:00,3,
e,,,173724,START__A_SUBMITTED,,1,2
e,,,173724,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0112:08:45.000000000+00:00,No_resource,173727,START,2011-10-0112:08:45.000000000+00:00,1,
v,2011-10-0112:08:45.000000000+00:00,112,173727,A_SUBMITTED,2011-10-0112:08:46.000000000+00:00,2,
v,2011-10-0112:08:46.000000000+00:00,112,173727,A_PARTLYSUBMITTED,2011-10-0112:08:46.000000000+00:00,3,
e,,,173727,START__A_SUBMITTED,,1,2
e,,,173727,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0112:36:07.000000000+00:00,No_resource,173730,START,2011-10-0112:36:07.000000000+00:00,1,
v,2011-10-0112:36:07.000000000+00:00,112,173730,A_SUBMITTED,2011-10-0112:36:08.000000000+00:00,2,
v,2011-10-0112:36:08.000000000+00:00,112,173730,A_PARTLYSUBMITTED,2011-10-0112:36:09.000000000+00:00,3,
e,,,173730,START__A_SUBMITTED,,1,2
e,,,173730,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0112:39:33.000000000+00:00,No_resource,173733,START,2011-10-0112:39:33.000000000+00:00,1,
v,2011-10-0112:39:33.000000000+00:00,112,173733,A_SUBMITTED,2011-10-0112:39:34.000000000+00:00,2,
v,2011-10-0112:39:34.000000000+00:00,112,173733,A_PARTLYSUBMITTED,2011-10-0112:39:34.000000000+00:00,3,
e,,,173733,START__A_SUBMITTED,,1,2
e,,,173733,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0113:01:57.000000000+00:00,No_resource,173736,START,2011-10-0113:01:57.000000000+00:00,1,
v,2011-10-0113:01:57.000000000+00:00,112,173736,A_SUBMITTED,2011-10-0113:01:58.000000000+00:00,2,
v,2011-10-0113:01:58.000000000+00:00,112,173736,A_PARTLYSUBMITTED,2011-10-0113:01:59.000000000+00:00,3,
e,,,173736,START__A_SUBMITTED,,1,2
e,,,173736,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0113:12:57.000000000+00:00,No_resource,173739,START,2011-10-0113:12:57.000000000+00:00,1,
v,2011-10-0113:12:57.000000000+00:00,112,173739,A_SUBMITTED,2011-10-0113:12:58.000000000+00:00,2,
v,2011-10-0113:12:58.000000000+00:00,112,173739,A_PARTLYSUBMITTED,2011-10-0113:12:58.000000000+00:00,3,
e,,,173739,START__A_SUBMITTED,,1,2
e,,,173739,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0113:44:11.000000000+00:00,No_resource,173742,START,2011-10-0113:44:11.000000000+00:00,1,
v,2011-10-0113:44:11.000000000+00:00,112,173742,A_SUBMITTED,2011-10-0113:44:12.000000000+00:00,2,
v,2011-10-0113:44:12.000000000+00:00,112,173742,A_PARTLYSUBMITTED,2011-10-0113:44:12.000000000+00:00,3,
e,,,173742,START__A_SUBMITTED,,1,2
e,,,173742,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0114:08:15.000000000+00:00,No_resource,173745,START,2011-10-0114:08:15.000000000+00:00,1,
v,2011-10-0114:08:15.000000000+00:00,112,173745,A_SUBMITTED,2011-10-0114:08:16.000000000+00:00,2,
v,2011-10-0114:08:16.000000000+00:00,112,173745,A_PARTLYSUBMITTED,2011-10-0114:08:16.000000000+00:00,3,
e,,,173745,START__A_SUBMITTED,,1,2
e,,,173745,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0114:09:15.000000000+00:00,No_resource,173748,START,2011-10-0114:09:15.000000000+00:00,1,
v,2011-10-0114:09:15.000000000+00:00,112,173748,A_SUBMITTED,2011-10-0114:09:16.000000000+00:00,2,
v,2011-10-0114:09:16.000000000+00:00,112,173748,A_PARTLYSUBMITTED,2011-10-0114:09:16.000000000+00:00,3,
e,,,173748,START__A_SUBMITTED,,1,2
e,,,173748,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0114:14:38.000000000+00:00,No_resource,173751,START,2011-10-0114:14:38.000000000+00:00,1,
v,2011-10-0114:14:38.000000000+00:00,112,173751,A_SUBMITTED,2011-10-0114:14:39.000000000+00:00,2,
v,2011-10-0114:14:39.000000000+00:00,112,173751,A_PARTLYSUBMITTED,2011-10-0114:14:39.000000000+00:00,3,
e,,,173751,START__A_SUBMITTED,,1,2
e,,,173751,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0114:50:08.000000000+00:00,No_resource,173754,START,2011-10-0114:50:08.000000000+00:00,1,
v,2011-10-0114:50:08.000000000+00:00,112,173754,A_SUBMITTED,2011-10-0114:50:09.000000000+00:00,2,
v,2011-10-0114:50:09.000000000+00:00,112,173754,A_PARTLYSUBMITTED,2011-10-0114:50:11.000000000+00:00,3,
e,,,173754,START__A_SUBMITTED,,1,2
e,,,173754,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0115:02:57.000000000+00:00,No_resource,173757,START,2011-10-0115:02:57.000000000+00:00,1,
v,2011-10-0115:02:57.000000000+00:00,112,173757,A_SUBMITTED,2011-10-0115:02:58.000000000+00:00,2,
v,2011-10-0115:02:58.000000000+00:00,112,173757,A_PARTLYSUBMITTED,2011-10-0115:02:58.000000000+00:00,3,
e,,,173757,START__A_SUBMITTED,,1,2
e,,,173757,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0115:15:16.000000000+00:00,No_resource,173760,START,2011-10-0115:15:16.000000000+00:00,1,
v,2011-10-0115:15:16.000000000+00:00,112,173760,A_SUBMITTED,2011-10-0115:15:17.000000000+00:00,2,
v,2011-10-0115:15:17.000000000+00:00,112,173760,A_PARTLYSUBMITTED,2011-10-0115:15:17.000000000+00:00,3,
e,,,173760,START__A_SUBMITTED,,1,2
e,,,173760,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0116:09:21.000000000+00:00,No_resource,173763,START,2011-10-0116:09:21.000000000+00:00,1,
v,2011-10-0116:09:21.000000000+00:00,112,173763,A_SUBMITTED,2011-10-0116:09:22.000000000+00:00,2,
v,2011-10-0116:09:22.000000000+00:00,112,173763,A_PARTLYSUBMITTED,2011-10-0116:09:23.000000000+00:00,3,
e,,,173763,START__A_SUBMITTED,,1,2
e,,,173763,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0116:12:01.000000000+00:00,No_resource,173766,START,2011-10-0116:12:01.000000000+00:00,1,
v,2011-10-0116:12:01.000000000+00:00,112,173766,A_SUBMITTED,2011-10-0116:12:02.000000000+00:00,2,
v,2011-10-0116:12:02.000000000+00:00,112,173766,A_PARTLYSUBMITTED,2011-10-0116:12:02.000000000+00:00,3,
e,,,173766,START__A_SUBMITTED,,1,2
e,,,173766,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0116:34:45.000000000+00:00,No_resource,173769,START,2011-10-0116:34:45.000000000+00:00,1,
v,2011-10-0116:34:45.000000000+00:00,112,173769,A_SUBMITTED,2011-10-0116:34:46.000000000+00:00,2,
v,2011-10-0116:34:46.000000000+00:00,112,173769,A_PARTLYSUBMITTED,2011-10-0116:34:46.000000000+00:00,3,
e,,,173769,START__A_SUBMITTED,,1,2
e,,,173769,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0116:39:54.000000000+00:00,No_resource,173772,START,2011-10-0116:39:54.000000000+00:00,1,
v,2011-10-0116:39:54.000000000+00:00,112,173772,A_SUBMITTED,2011-10-0116:39:55.000000000+00:00,2,
v,2011-10-0116:39:55.000000000+00:00,112,173772,A_PARTLYSUBMITTED,2011-10-0116:39:55.000000000+00:00,3,
e,,,173772,START__A_SUBMITTED,,1,2
e,,,173772,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0116:58:59.000000000+00:00,No_resource,173775,START,2011-10-0116:58:59.000000000+00:00,1,
v,2011-10-0116:58:59.000000000+00:00,112,173775,A_SUBMITTED,2011-10-0116:59:00.000000000+00:00,2,
v,2011-10-0116:59:00.000000000+00:00,112,173775,A_PARTLYSUBMITTED,2011-10-0116:59:00.000000000+00:00,3,
e,,,173775,START__A_SUBMITTED,,1,2
e,,,173775,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
v,2011-10-0117:49:30.000000000+00:00,No_resource,173778,START,2011-10-0117:49:30.000000000+00:00,1,
v,2011-10-0117:49:30.000000000+00:00,112,173778,A_SUBMITTED,2011-10-0117:49:31.000000000+00:00,2,
v,2011-10-0117:49:31.000000000+00:00,112,173778,A_PARTLYSUBMITTED,2011-10-0117:49:31.000000000+00:00,3,
e,,,173778,START__A_SUBMITTED,,1,2
e,,,173778,A_SUBMITTED__A_PARTLYSUBMITTED,,2,3
,,,,,,,
XP,,,,,,,
